SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
421	4	1	Fa3_1231.jpg	70	conj	6.750000e+01	1.256681e+03	60	3.016219e+00	6.033376e+00	1.301260e+01	1.601913e+01
421	4	2	Fa2_2223.jpg	70	summ	6.825000e+01	1.458359e+03	60	2.050286e+01	2.351978e+01	3.151344e+01	3.452151e+01
421	4	3	Fa3_1231.jpg	70	conj	72	2.327222e+03	60	4.200644e+01	4.502364e+01	5.301475e+01	5.602523e+01
421	4	4	Fa3_1121.jpg	90	conj	90	1.915904e+03	60	6.200968e+01	6.502710e+01	7.201282e+01	7.502859e+01
421	4	5	Fa2_2122.jpg	50	summ	4.725000e+01	1.840587e+03	60	8.001306e+01	8.303029e+01	9.051310e+01	9.352028e+01
421	4	6	Fa3_1331.jpg	50	conj	5.025000e+01	1.706536e+03	60	1.015168e+02	1.045340e+02	1.085140e+02	1.115204e+02
421	4	7	Fa2_2221.jpg	40	summ	4.125000e+01	2.091685e+03	60	1.185042e+02	1.215208e+02	1.275135e+02	1.305216e+02
421	4	8	Fa2_2223.jpg	70	summ	6.675000e+01	1.862280e+03	60	1.365062e+02	1.395234e+02	1.470126e+02	1.500250e+02
421	4	9	Fa2_2121.jpg	30	summ	30	1.930531e+03	60	1.570098e+02	1.600269e+02	1.645141e+02	1.675280e+02
421	4	10	Fa2_2323.jpg	90	summ	87	2.008008e+03	60	1.755130e+02	1.785302e+02	1.865135e+02	1.895215e+02
421	4	11	Fa2_2322.jpg	80	summ	78	1.526297e+03	60	1.965166e+02	1.995339e+02	2.045124e+02	2.075217e+02
421	4	12	Fa3_1331.jpg	50	conj	5.175000e+01	1.441551e+03	60	2.130054e+02	2.160220e+02	2.220138e+02	2.250220e+02
421	4	13	Fa2_2122.jpg	50	summ	5.175000e+01	1.577689e+03	60	2.290055e+02	2.320228e+02	2.370128e+02	2.400238e+02
421	4	14	Fa3_1111.jpg	30	conj	2.925000e+01	-999	60	2.445083e+02	2.475255e+02	2.535151e+02	2.565600e+02
421	4	15	Fa3_1221.jpg	40	conj	90	1.984088e+03	60	2.645118e+02	2.675289e+02	2.750131e+02	2.780305e+02
421	4	16	Fa3_1111.jpg	30	conj	2.925000e+01	2.175678e+03	60	2.820148e+02	2.850320e+02	2.910138e+02	2.940227e+02
421	4	17	Fa3_1221.jpg	40	conj	4.275000e+01	-999	60	2.990174e+02	3.020349e+02	3.085135e+02	3.115563e+02
421	4	18	Fa3_1311.jpg	80	conj	7.950000e+01	1.427355e+03	60	3.195066e+02	3.225233e+02	3.280127e+02	3.310232e+02
421	4	19	Fa2_2221.jpg	40	summ	4.125000e+01	1.895567e+03	60	3.350073e+02	3.380245e+02	3.455136e+02	3.485260e+02
421	4	20	Fa2_2121.jpg	30	summ	3.150000e+01	2.432603e+03	60	3.525103e+02	3.555275e+02	3.615128e+02	3.645288e+02
421	4	21	Fa2_2322.jpg	80	summ	7.950000e+01	2.034694e+03	60	3.690132e+02	3.720304e+02	3.775136e+02	3.805238e+02
421	4	22	Fa3_1121.jpg	90	conj	8.850000e+01	1.911361e+03	60	3.855160e+02	3.885332e+02	3.925128e+02	3.955240e+02
421	4	23	Fa3_1311.jpg	80	conj	78	2.044281e+03	60	4.005077e+02	4.035243e+02	4.110135e+02	4.140242e+02
421	4	24	Fa2_2323.jpg	90	summ	8.850000e+01	2.477722e+03	60	4.195079e+02	4.225246e+02	4.270134e+02	4.300244e+02
