sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
448	1	Fc1_3221_Y.jpg	10	10	5.000818e+03	2.687500e+01
448	2	Fc1_3221_Y.jpg	12	10	5.014477e+03	1.828125e+01
448	3	Fc1_1231_X.jpg	20	20	5.003620e+03	2.414062e+01
448	4	Fc1_1231_X.jpg	21	20	5.010029e+03	2.179688e+01
448	5	Fc1_2221_Y.jpg	30	30	5.002112e+03	2.570312e+01
448	6	Fc1_2221_Y.jpg	30	30	5.008150e+03	3.039062e+01
448	7	Fc1_1231_X.jpg	22	20	5.000643e+03	2.218750e+01
448	8	Fc1_1231_X.jpg	19	20	5.010774e+03	2.218750e+01
448	9	Fc1_3221_Y.jpg	8	10	5.001928e+03	3.390625e+01
448	10	Fc1_3221_Y.jpg	9	10	5.009366e+03	7.734375e+00
448	11	Fc1_2221_Y.jpg	32	30	5.000854e+03	3.312500e+01
448	12	Fc1_2221_Y.jpg	29	30	5.008675e+03	3.234375e+01
448	13	Fc1_3221_Y.jpg	11	10	5.001907e+03	2.179688e+01
448	14	Fc1_3221_Y.jpg	10	10	5.011028e+03	1.046875e+01
448	15	Fc1_2221_Y.jpg	28	30	5.018272e+03	3.312500e+01
448	16	Fc1_2221_Y.jpg	30	30	5.010408e+03	2.765625e+01
448	17	Fc1_1231_X.jpg	20	20	5.002200e+03	1.906250e+01
448	18	Fc1_1231_X.jpg	20	20	5.009007e+03	2.023438e+01
448	19	Fc1_1221_X.jpg	30	30	5.009511e+03	2.609375e+01
448	20	Fc1_1221_X.jpg	32	30	5.010141e+03	30
448	21	Fc1_1221_Y.jpg	38	40	5.003329e+03	1.125000e+01
448	22	Fc1_1221_Y.jpg	39	40	5.010776e+03	3.820312e+01
448	23	Fc1_1211_X.jpg	52	50	5.001619e+03	2.687500e+01
448	24	Fc1_1211_X.jpg	49	50	5.011008e+03	5.031250e+01
448	25	Fc1_1221_X.jpg	29	30	5.002057e+03	3.312500e+01
448	26	Fc1_1221_X.jpg	28	30	5.008037e+03	2.921875e+01
448	27	Fc1_1221_Y.jpg	42	40	5.002801e+03	2.726562e+01
448	28	Fc1_1221_Y.jpg	40	40	5.002046e+03	4.093750e+01
448	29	Fc1_1221_X.jpg	30	30	5.001614e+03	3.273438e+01
448	30	Fc1_1221_X.jpg	30	30	5.010071e+03	30
448	31	Fc1_1211_X.jpg	50	50	5.002949e+03	5.460938e+01
448	32	Fc1_1211_X.jpg	48	50	5.009728e+03	5.226562e+01
448	33	Fc1_1221_Y.jpg	40	40	5.001121e+03	3.195312e+01
448	34	Fc1_1211_X.jpg	51	50	5.000144e+03	5.304688e+01
448	35	Fc1_1221_Y.jpg	38	40	5.001455e+03	4.015625e+01
448	36	Fc1_1211_X.jpg	52	50	5.000295e+03	5.382812e+01
