SubjectIDs,conjMeanAccuracy,summMeanAccuracy,conjStdAccuracy,summStdAccuracy,conjMeanRT,summMeanRT
23,4.96744791666667,1.94444444444444,7.43834104132052,2.74838542401321,2.39918560302075,2.38329962514587
24,0.976562500000003,1.06119791666667,0.721247843861884,0.541332518490034,2.40032268854153,2.43445759285407
25,2.53255208333333,1.20008680555556,7.95901781506757,2.14847080039025,1.99917878714583,2.0314156957088
27,2.29166666666667,2.44574652777778,8.62341417394331,4.30451225068529,2.6862389159572,2.52808882474892
28,2.62369791666667,2.31119791666667,6.59083423096908,4.81112378285647,2.35719476787563,2.31554282803882
30,0.731336805555556,0.766059027777775,0.531794926046028,0.632523272065146,2.27523369331053,2.36562245845804
101,2.19401041666667,1.20659722222222,4.60094969657453,0.939058331857195,2.12176763169312,2.13354245853649
102,3.78472222222222,3.30729166666667,9.24973776596746,5.14520698516714,2.22597855624432,2.26554158871295
103,1.46484375,1.10026041666667,2.63868140524767,0.784797280676225,2.0902307885893,1.97783357393928
105,1.77517361111111,1.31076388888889,0.953725415305397,0.97452814601119,2.19339464727091,2.15421657035282
107,1.16536458333333,1.62760416666667,2.20685002309091,2.40929813691853,2.32916153263068,2.3998589902573
108,1.94878472222222,1.49522569444444,4.26772170493557,1.88733256846348,2.50932627585341,2.41564665416566
109,0.735677083333333,0.811631944444443,0.635769452844746,0.760308373389236,2.45020306116203,2.50837381729313
111,1.15885416666667,0.670572916666667,1.98046395053472,0.555747429650325,2.56622315279674,2.71125268130951
112,5.70529513888889,7.21354166666667,10.0241710591085,8.53786836063997,2.15352392338294,2.57542823365657
113,1.07855902777778,1.0546875,0.701076716233269,0.756554116996559,2.13721028162399,2.2091160552421
114,1.67100694444444,1.83376736111111,1.36138595505715,4.30766206339481,2.19076824277727,2.23754239730746
115,4.93272569444444,5.77039930555556,12.34280760279,8.25127874606831,2.69547410576827,2.6988718332456
116,3.44618055555556,2.70182291666667,5.04677777333419,2.7101574471213,2.59182078250039,2.62262523356185
118,1.20659722222222,2.62369791666667,0.953695156399379,3.57034024420706,1.9714347354311,2.10874734180349
119,1.29557291666667,1.76649305555556,0.997259619214644,2.16857508668022,2.65459777713598,2.6251491040457
120,1.05685763888889,1.22829861111111,0.794179238653502,0.871774686469881,2.18745369544922,2.07565329660429
121,4.87413194444445,1.85329861111111,7.19441729314432,1.72559797048522,2.31775828600318,2.34040096735892
122,3.05555555555556,2.14409722222222,5.7517620728325,3.02483024079346,2.6384335909194,2.68201686007281
123,1.58420138888889,1.49088541666667,3.86424420080429,4.88046744810423,2.13164568351931,2.1236107221824
125,1.21961805555556,1.48654513888889,0.864594904363027,1.49426040385822,2.06594217331925,2.09471244700641
201,0.729166666666667,1.07638888888889,0.780695725364777,1.19046563656247,2.04680978771648,2.21207765045498
202,0.572916666666667,0.711805555555555,0.574174553981379,0.595232818281236,2.52666021981956,2.48449880021993
203,6.73611111111111,7.23958333333333,10.3782388110673,10.5970638162098,2.35454216848787,2.20192537329664
205,3.73263888888889,2.72569444444444,5.12546366274089,5.25288275952015,1.81218824330426,1.91984617097478
206,0.885416666666667,1.66666666666667,0.717195294068857,3.07029541705526,1.92567114927321,2.16126306304553
207,0.607638888888889,1.04166666666667,1.49605058610529,2.90969277703636,2.13064916331011,2.32060227941353
208,0.729166666666667,0.555555555555555,0.817671982184281,0.650816302601642,2.09459392849628,2.10573323901432
