sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
436	1	Fc3_1211.jpg	78	80	5.011802e+03	80
436	2	Fc3_1211.jpg	79	80	5.010760e+03	80
436	3	Fc3_1112.jpg	88	90	5.009093e+03	8.937500e+01
436	4	Fc3_1112.jpg	90	90	5.009992e+03	9.062500e+01
436	5	Fc3_1313.jpg	68	70	5.009978e+03	7.062500e+01
436	6	Fc3_1313.jpg	71	70	5.010274e+03	70
436	7	Fc3_1211.jpg	82	80	5.010415e+03	8.062500e+01
436	8	Fc3_1211.jpg	80	80	5.010773e+03	80
436	9	Fc3_1111.jpg	31	30	5.010575e+03	3.062500e+01
436	10	Fc3_1111.jpg	30	30	5.011256e+03	3.062500e+01
436	11	Fc3_1213.jpg	50	50	5.010033e+03	4.750000e+01
436	12	Fc3_1313.jpg	72	70	5.010159e+03	7.062500e+01
436	13	Fc3_1312.jpg	40	40	5.010743e+03	3.937500e+01
436	14	Fc3_1312.jpg	41	40	5.010106e+03	4.062500e+01
436	15	Fc3_1313.jpg	70	70	5.009713e+03	70
436	16	Fc3_1313.jpg	69	70	5.009847e+03	70
436	17	Fc3_1111.jpg	32	30	5.010013e+03	3.062500e+01
436	18	Fc3_1112.jpg	90	90	5.010218e+03	9.062500e+01
436	19	Fc3_1312.jpg	42	40	5.009228e+03	40
436	20	Fc3_1112.jpg	89	90	5.010938e+03	9.125000e+01
436	21	Fc3_1112.jpg	90	90	5.009819e+03	9.062500e+01
436	22	Fc3_1213.jpg	48	50	5.009358e+03	4.875000e+01
436	23	Fc3_1111.jpg	28	30	5.010011e+03	3.125000e+01
436	24	Fc3_1312.jpg	40	40	5.009547e+03	7.062500e+01
436	25	Fc3_1312.jpg	38	40	5.009945e+03	4.062500e+01
436	26	Fc3_1112.jpg	91	90	5.010822e+03	9.125000e+01
436	27	Fc3_1111.jpg	30	30	5.010317e+03	3.125000e+01
436	28	Fc3_1111.jpg	29	30	5.010244e+03	30
436	29	Fc3_1211.jpg	81	80	5.008872e+03	80
436	30	Fc3_1312.jpg	40	40	5.009682e+03	40
436	31	Fc3_1213.jpg	50	50	5.009382e+03	4.875000e+01
436	32	Fc3_1213.jpg	51	50	5.010030e+03	4.875000e+01
436	33	Fc3_1313.jpg	70	70	5.009214e+03	7.062500e+01
436	34	Fc3_1211.jpg	80	80	5.009080e+03	8.062500e+01
436	35	Fc3_1213.jpg	50	50	5.009432e+03	5.062500e+01
436	36	Fc3_1213.jpg	49	50	5.009090e+03	50
