SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
453	1	1	Fa3_1111.jpg	30	conj	NaN	NaN	NaN	3.009936e+00	6.027209e+00	NaN	Nan
453	1	2	bid	NaN	NaN	2.925000e+01	-999	60	NaN	Nan	1.404421e+01	1.707888e+01
453	1	3	Fa3_1331.jpg	50	conj	NaN	NaN	NaN	2.401371e+01	2.703090e+01	NaN	Nan
453	1	4	bid	NaN	NaN	48	2.863868e+03	60	NaN	Nan	3.251832e+01	3.557341e+01
453	1	5	Fa2_2121.jpg	30	summ	NaN	NaN	NaN	3.951637e+01	4.253365e+01	NaN	Nan
453	1	6	bid	NaN	NaN	3.150000e+01	2.959625e+03	60	NaN	Nan	4.851425e+01	5.170699e+01
453	1	7	Fa3_1111.jpg	30	conj	NaN	NaN	NaN	5.750726e+01	6.052400e+01	NaN	Nan
453	1	8	bid	NaN	NaN	30	-999	60	NaN	Nan	6.651408e+01	6.955745e+01
453	1	9	Fa3_1311.jpg	80	conj	NaN	NaN	NaN	7.700760e+01	8.002441e+01	NaN	Nan
453	1	10	bid	NaN	NaN	8.025000e+01	1.077568e+03	60	NaN	Nan	8.501389e+01	8.802489e+01
453	1	11	Fa3_1331.jpg	50	conj	NaN	NaN	NaN	9.250905e+01	9.552620e+01	NaN	Nan
453	1	12	bid	NaN	NaN	4.875000e+01	2.047589e+03	60	NaN	Nan	1.030135e+02	1.060278e+02
453	1	13	Fa2_2223.jpg	70	summ	NaN	NaN	NaN	1.135125e+02	1.165299e+02	NaN	Nan
453	1	14	bid	NaN	NaN	69	1.401287e+03	60	NaN	Nan	1.210131e+02	1.240310e+02
453	1	15	Fa2_2323.jpg	90	summ	NaN	NaN	NaN	1.300156e+02	1.330327e+02	NaN	Nan
453	1	16	bid	NaN	NaN	90	2.320301e+03	60	NaN	Nan	1.380136e+02	1.410248e+02
453	1	17	Fa2_2221.jpg	40	summ	NaN	NaN	NaN	1.470185e+02	1.500358e+02	NaN	Nan
453	1	18	bid	NaN	NaN	3.975000e+01	2.695646e+03	60	NaN	Nan	1.550128e+02	1.580251e+02
453	1	19	Fa3_1221.jpg	40	conj	NaN	NaN	NaN	1.640088e+02	1.670255e+02	NaN	Nan
453	1	20	bid	NaN	NaN	3.975000e+01	2.230589e+03	60	NaN	Nan	1.715115e+02	1.745253e+02
453	1	21	Fa2_2223.jpg	70	summ	NaN	NaN	NaN	1.825090e+02	1.855257e+02	NaN	Nan
453	1	22	bid	NaN	NaN	7.125000e+01	2.247071e+03	60	NaN	Nan	1.895124e+02	1.925262e+02
453	1	23	Fa3_1231.jpg	70	conj	NaN	NaN	NaN	1.985108e+02	2.015281e+02	NaN	Nan
453	1	24	bid	NaN	NaN	7.125000e+01	1.432189e+03	60	NaN	Nan	2.065137e+02	2.095291e+02
453	1	25	Fa2_2121.jpg	30	summ	NaN	NaN	NaN	2.175141e+02	2.205313e+02	NaN	Nan
453	1	26	bid	NaN	NaN	3.075000e+01	1.652176e+03	60	NaN	Nan	2.260136e+02	2.290261e+02
453	1	27	Fa3_1231.jpg	70	conj	NaN	NaN	NaN	2.370175e+02	2.400347e+02	NaN	Nan
453	1	28	bid	NaN	NaN	69	2.799239e+03	60	NaN	Nan	2.455105e+02	2.485262e+02
453	1	29	Fa3_1121.jpg	90	conj	NaN	NaN	NaN	2.525099e+02	2.555266e+02	NaN	Nan
453	1	30	bid	NaN	NaN	8.850000e+01	2.412669e+03	60	NaN	Nan	2.600138e+02	2.630264e+02
