SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
405	4	1	Fa2_2221.jpg	40	summ	NaN	NaN	NaN	3.015280e+00	6.031965e+00	NaN	Nan
405	4	2	bid	NaN	NaN	42	-999	60	NaN	Nan	1.051302e+01	1.355609e+01
405	4	3	Fa3_1111.jpg	30	conj	NaN	NaN	NaN	2.051553e+01	2.353227e+01	NaN	Nan
405	4	4	bid	NaN	NaN	3.075000e+01	-999	60	NaN	Nan	3.101378e+01	3.404884e+01
405	4	5	Fa3_1331.jpg	50	conj	NaN	NaN	NaN	3.801581e+01	4.103247e+01	NaN	Nan
405	4	6	bid	NaN	NaN	48	-999	60	NaN	Nan	4.851395e+01	5.154906e+01
405	4	7	Fa3_1111.jpg	30	conj	NaN	NaN	NaN	5.651613e+01	5.953282e+01	NaN	Nan
405	4	8	bid	NaN	NaN	3.225000e+01	-999	60	NaN	Nan	6.451250e+01	6.754930e+01
405	4	9	Fa2_2323.jpg	90	summ	NaN	NaN	NaN	7.551714e+01	7.853428e+01	NaN	Nan
405	4	10	bid	NaN	NaN	90	2.643477e+03	60	NaN	Nan	8.251186e+01	8.551854e+01
405	4	11	Fa2_2221.jpg	40	summ	NaN	NaN	NaN	9.151662e+01	9.453330e+01	NaN	Nan
405	4	12	bid	NaN	NaN	4.125000e+01	2.876924e+03	60	NaN	Nan	1.000129e+02	1.030832e+02
405	4	13	Fa2_2121.jpg	30	summ	NaN	NaN	NaN	1.080167e+02	1.110334e+02	NaN	Nan
405	4	14	bid	NaN	NaN	3.075000e+01	-999	60	NaN	Nan	1.190137e+02	1.220583e+02
405	4	15	Fa3_1221.jpg	40	conj	NaN	NaN	NaN	1.275172e+02	1.305337e+02	NaN	Nan
405	4	16	bid	NaN	NaN	39	-999	60	NaN	Nan	1.345132e+02	1.375502e+02
405	4	17	Fa3_1231.jpg	70	conj	NaN	NaN	NaN	1.450172e+02	1.480339e+02	NaN	Nan
405	4	18	bid	NaN	NaN	6.825000e+01	-999	60	NaN	Nan	1.520133e+02	1.550505e+02
405	4	19	Fa3_1221.jpg	40	conj	NaN	NaN	NaN	1.630176e+02	1.660341e+02	NaN	Nan
405	4	20	bid	NaN	NaN	4.050000e+01	-999	60	NaN	Nan	1.720129e+02	1.750508e+02
405	4	21	Fa2_2122.jpg	50	summ	NaN	NaN	NaN	1.830177e+02	1.860385e+02	NaN	Nan
405	4	22	bid	NaN	NaN	4.875000e+01	-999	60	NaN	Nan	1.905125e+02	1.935540e+02
405	4	23	Fa3_1121.jpg	90	conj	NaN	NaN	NaN	2.015180e+02	2.045348e+02	NaN	Nan
405	4	24	bid	NaN	NaN	9.075000e+01	-999	60	NaN	Nan	2.125137e+02	2.155578e+02
405	4	25	Fa2_2322.jpg	80	summ	NaN	NaN	NaN	2.215183e+02	2.245349e+02	NaN	Nan
405	4	26	bid	NaN	NaN	78	-999	60	NaN	Nan	2.300138e+02	2.330515e+02
405	4	27	Fa2_2122.jpg	50	summ	NaN	NaN	NaN	2.380184e+02	2.410352e+02	NaN	Nan
405	4	28	bid	NaN	NaN	4.650000e+01	-999	60	NaN	Nan	2.485128e+02	2.515517e+02
405	4	29	Fa2_2223.jpg	70	summ	NaN	NaN	NaN	2.555151e+02	2.585322e+02	NaN	Nan
405	4	30	bid	NaN	NaN	6.825000e+01	-999	60	NaN	Nan	2.625135e+02	2.655518e+02
405	4	31	Fa3_1231.jpg	70	conj	NaN	NaN	NaN	2.715178e+02	2.745356e+02	NaN	Nan
405	4	32	bid	NaN	NaN	7.125000e+01	2.727305e+03	60	NaN	Nan	2.820133e+02	2.850199e+02
405	4	33	Fa2_2121.jpg	30	summ	NaN	NaN	NaN	2.910045e+02	2.940221e+02	NaN	Nan
405	4	34	bid	NaN	NaN	3.150000e+01	-999	60	NaN	Nan	2.985135e+02	3.015561e+02
405	4	35	Fa3_1311.jpg	80	conj	NaN	NaN	NaN	3.085076e+02	3.115247e+02	NaN	Nan
405	4	36	bid	NaN	NaN	7.950000e+01	2.514429e+03	60	NaN	Nan	3.165132e+02	3.195260e+02
405	4	37	Fa3_1331.jpg	50	conj	NaN	NaN	NaN	3.240103e+02	3.270274e+02	NaN	Nan
405	4	38	bid	NaN	NaN	4.875000e+01	2.874017e+03	60	NaN	Nan	3.320129e+02	3.350786e+02
405	4	39	Fa3_1121.jpg	90	conj	NaN	NaN	NaN	3.420133e+02	3.450305e+02	NaN	Nan
405	4	40	bid	NaN	NaN	90	2.723568e+03	60	NaN	Nan	3.530136e+02	3.560196e+02
405	4	41	Fa2_2223.jpg	70	summ	NaN	NaN	NaN	3.605166e+02	3.635338e+02	NaN	Nan
405	4	42	bid	NaN	NaN	69	2.076355e+03	60	NaN	Nan	3.710129e+02	3.740198e+02
405	4	43	Fa2_2322.jpg	80	summ	NaN	NaN	NaN	3.805036e+02	3.835205e+02	NaN	Nan
405	4	44	bid	NaN	NaN	60	-999	60	NaN	Nan	3.890138e+02	3.920551e+02
405	4	45	Fa2_2323.jpg	90	summ	NaN	NaN	NaN	3.980064e+02	4.010236e+02	NaN	Nan
405	4	46	bid	NaN	NaN	9.075000e+01	2.529100e+03	60	NaN	Nan	4.070132e+02	4.100249e+02
405	4	47	Fa3_1311.jpg	80	conj	NaN	NaN	NaN	4.170097e+02	4.200271e+02	NaN	Nan
405	4	48	bid	NaN	NaN	7.725000e+01	-999	60	NaN	Nan	4.270138e+02	4.300705e+02
