Subject_Num,GroupCount,mean_TransPerTrial_conj,mean_TransPerTrial_summ,mean_NumFixPerTrial_conj,mean_NumFixPerTrial_summ,mean_AveFixDur_conj,mean_AveFixDur_summ,mean_Dur_conj_Att1,mean_Dur_conj_Att2,mean_Dur_conj_NoAtt,mean_Dur_conj_Symm,mean_Dur_summ_Att1,mean_Dur_summ_Att2,mean_Dur_summ_NoAtt,mean_Dur_summ_Symm
402,4,1.02083333333333,1.375,5.66666666666667,6.35416666666667,387.461557539683,358.561408730159,874.916666666667,713.208333333333,447.583333333333,0.618578848800542,948.833333333333,771.291666666667,410.333333333333,0.661228054549646
405,4,1.95833333333333,1.20833333333333,5.95833333333333,4.39583333333333,382.734606481481,501.42748015873,634.625,947.833333333333,573.666666666667,0.497335769931841,636.625,714.166666666667,573.041666666667,0.405139418328259
406,4,1.70833333333333,1.35416666666667,9.08333333333333,9.125,219.807116294868,218.918398082393,691.291666666667,534.083333333333,581.625,0.506537841788521,434.958333333333,814.583333333333,549.041666666667,0.603957762214383
407,4,0.678787878787879,1.02689393939394,6.22916666666667,5.3125,316.500234647942,338.751581890332,454.107575757576,624.121212121212,474.712121212121,0.27897049153291,582.825757575758,721.023484848485,246.930303030303,0.315891490068992
408,4,0.866792929292929,0.819318181818182,8.77083333333333,7.6875,179.908250845016,242.160004883461,336.493686868687,444.099747474747,730.244949494949,0.546310331202246,767.843939393939,388.014393939394,600.477272727273,0.510525732822159
410,4,2.54166666666667,2.97916666666667,8.9375,8.27083333333333,265.600496436434,264.859478557505,858.333333333333,743.583333333333,404.458333333333,0.750637817218606,732.083333333333,952.541666666667,358.125,0.766181803338842
411,4,2,1.25,7.375,7.29166666666667,280.59077982203,282.999619708995,989.666666666667,560.291666666667,453,0.676605241101527,678.666666666667,965.041666666667,346.25,0.679996378858956
412,4,1.66666666666667,1.85416666666667,5.64583333333333,5.39583333333333,366.323544973545,386.492242063492,1186.625,706.152777777778,189.305555555556,0.510719773944984,1166.84166666667,901.333333333333,22.3833333333333,0.656046551133108
413,4,1.16666666666667,0.833333333333333,4.22916666666667,4.0625,440.752876984127,510.643055555556,545.583333333333,559,647.458333333333,0.406381723419843,812.625,335.875,804,0.336898638546095
417,4,2.81628787878788,1.60984848484848,6.83333333333333,4.5,278.918408790284,368.14715007215,475.674242424242,1026.75378787879,265.393939393939,0.566582696376258,603.746212121212,804.314393939394,146.875,0.576042453272021
418,4,2.66666666666667,1.60416666666667,7.5,7.625,250.711340626966,220.672093068968,805.083333333333,784.541666666667,222.416666666667,0.6987847047826,586.916666666667,661.125,382.166666666667,0.725887150728745
419,4,3,2.04166666666667,6.14583333333333,6.1875,322.874222883598,339.66681547619,1099.54166666667,697.416666666667,63.7916666666667,0.603887873931049,993.666666666667,716.291666666667,175.958333333333,0.694557720028762
421,4,2.35416666666667,2.27083333333333,7,6.70833333333333,304.568667328042,337.248660714286,450.625,1074.375,559.666666666667,0.470305443861564,977.291666666667,724.208333333333,490.958333333333,0.535017360449744
428,4,2.35416666666667,2.35416666666667,5.79166666666667,5.5,375.850239748677,397.726421206109,1076.02083333333,791.75,145.791666666667,0.600070344268833,894.666666666667,1087.29166666667,15.125,0.665765328990787
429,4,1.39583333333333,1.22916666666667,4.60416666666667,3.39583333333333,513.830505952381,652.613492063492,593.895833333333,1243.02083333333,199.854166666667,0.48751722390185,800.166666666667,922.125,92.4791666666667,0.48806902141926
