SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
420	1	1	Fc3_1111.jpg	30	conj	2.325000e+01	-999	60	3.011900e+00	6.028528e+00	1.154195e+01	1.457911e+01
420	1	2	Fc3_1112.jpg	90	conj	60	-999	60	2.251409e+01	2.553123e+01	3.151604e+01	3.454926e+01
420	1	3	Fc1_1221.jpg	50	summ	60	-999	60	3.851691e+01	4.153403e+01	4.551313e+01	4.855166e+01
420	1	4	Fc1_1211.jpg	30	summ	3.225000e+01	-999	60	5.351264e+01	5.652938e+01	6.151119e+01	6.455449e+01
420	1	5	Fc3_1313.jpg	70	conj	4.575000e+01	-999	60	6.951290e+01	7.252955e+01	7.951307e+01	8.256283e+01
420	1	6	Fc1_2211.jpg	40	summ	4.050000e+01	-999	60	8.851311e+01	9.152986e+01	9.901356e+01	1.020631e+02
420	1	7	Fc3_1112.jpg	90	conj	8.775000e+01	2.737321e+03	60	1.095135e+02	1.125302e+02	1.165103e+02	1.195142e+02
420	1	8	Fc1_2231.jpg	70	summ	6.975000e+01	1.271444e+03	60	1.255154e+02	1.285327e+02	1.350127e+02	1.380304e+02
420	1	9	Fc1_2211.jpg	40	summ	3.675000e+01	-999	60	1.450139e+02	1.480307e+02	1.535135e+02	1.566138e+02
420	1	10	Fc1_3221.jpg	80	summ	9.225000e+01	1.901134e+03	60	1.635142e+02	1.665309e+02	1.710131e+02	1.740308e+02
420	1	11	Fc1_1221.jpg	50	summ	51	1.401304e+03	60	1.800144e+02	1.830311e+02	1.910135e+02	1.940312e+02
420	1	12	Fc3_1211.jpg	80	conj	7.875000e+01	-999	60	1.990146e+02	2.020313e+02	2.070135e+02	2.102312e+02
420	1	13	Fc3_1312.jpg	40	conj	3.750000e+01	-999	60	2.145148e+02	2.175315e+02	2.235124e+02	2.265494e+02
420	1	14	Fc3_1213.jpg	50	conj	4.725000e+01	2.506188e+03	60	2.340177e+02	2.370349e+02	2.450137e+02	2.480317e+02
420	1	15	Fc1_3231.jpg	90	summ	87	-999	60	2.525153e+02	2.555320e+02	2.610131e+02	2.640559e+02
420	1	16	Fc3_1313.jpg	70	conj	6.975000e+01	1.951725e+03	60	2.685155e+02	2.715322e+02	2.755138e+02	2.785320e+02
420	1	17	Fc3_1111.jpg	30	conj	27	2.322342e+03	60	2.865157e+02	2.895324e+02	2.965101e+02	2.995157e+02
420	1	18	Fc3_1211.jpg	80	conj	8.025000e+01	-999	60	3.070160e+02	3.100327e+02	3.175136e+02	3.205492e+02
420	1	19	Fc1_1211.jpg	30	summ	3.075000e+01	2.105123e+03	60	3.275172e+02	3.305344e+02	3.345135e+02	3.375187e+02
420	1	20	Fc1_2231.jpg	70	summ	7.050000e+01	2.162547e+03	60	3.455165e+02	3.485332e+02	3.565099e+02	3.595225e+02
420	1	21	Fc3_1312.jpg	40	conj	36	2.795292e+03	60	3.655168e+02	3.685334e+02	3.740137e+02	3.770256e+02
420	1	22	Fc1_3231.jpg	90	summ	9.225000e+01	-999	60	3.820170e+02	3.850336e+02	3.930140e+02	3.960502e+02
420	1	23	Fc3_1213.jpg	50	conj	4.950000e+01	1.754368e+03	60	4.035172e+02	4.065339e+02	4.105128e+02	4.135171e+02
420	1	24	Fc1_3221.jpg	80	summ	7.725000e+01	2.804379e+03	60	4.180174e+02	4.210341e+02	4.270139e+02	4.300180e+02
