sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
444	1	Fc1_3221_Y.jpg	10	10	3.606169e+03	1.085938e+01
444	2	Fc1_3221_Y.jpg	8	10	2.868639e+03	9.687500e+00
444	3	Fc1_1231_X.jpg	19	20	3.552272e+03	2.023438e+01
444	4	Fc1_1231_X.jpg	18	20	2.600805e+03	1.984375e+01
444	5	Fc1_2221_Y.jpg	29	30	1.517230e+03	30
444	6	Fc1_2221_Y.jpg	28	30	7.324140e+02	30
444	7	Fc1_1231_X.jpg	22	20	1.819103e+03	1.984375e+01
444	8	Fc1_1231_X.jpg	21	20	1.671058e+03	2.023438e+01
444	9	Fc1_3221_Y.jpg	9	10	2.737885e+03	1.125000e+01
444	10	Fc1_3221_Y.jpg	10	10	2.702101e+03	9.296875e+00
444	11	Fc1_2221_Y.jpg	30	30	1.134025e+03	30
444	12	Fc1_2221_Y.jpg	30	30	8.846079e+02	30
444	13	Fc1_3221_Y.jpg	11	10	2.419345e+03	1.007812e+01
444	14	Fc1_3221_Y.jpg	10	10	2.583528e+03	9.687500e+00
444	15	Fc1_2221_Y.jpg	32	30	7.502634e+02	30
444	16	Fc1_2221_Y.jpg	29	30	5.689123e+02	30
444	17	Fc1_1231_X.jpg	20	20	2.521112e+03	2.101562e+01
444	18	Fc1_1231_X.jpg	19	20	2.202446e+03	1.945312e+01
444	19	Fc1_1221_X.jpg	28	30	1.119798e+03	30
444	20	Fc1_1221_X.jpg	30	30	7.193115e+02	30
444	21	Fc1_1221_Y.jpg	38	40	3.705339e+03	4.015625e+01
444	22	Fc1_1221_Y.jpg	42	40	2.220483e+03	4.054688e+01
444	23	Fc1_1211_X.jpg	48	50	2.486220e+03	5.148438e+01
444	24	Fc1_1211_X.jpg	49	50	2.786285e+03	5.109375e+01
444	25	Fc1_1221_X.jpg	30	30	2.932555e+03	2.960938e+01
444	26	Fc1_1221_X.jpg	32	30	5.357415e+02	30
444	27	Fc1_1221_Y.jpg	40	40	3.285126e+03	3.898438e+01
444	28	Fc1_1221_Y.jpg	39	40	2.101200e+03	4.015625e+01
444	29	Fc1_1221_X.jpg	29	30	1.269528e+03	30
444	30	Fc1_1221_X.jpg	28	30	1.354599e+03	30
444	31	Fc1_1211_X.jpg	51	50	2.677384e+03	5.031250e+01
444	32	Fc1_1211_X.jpg	52	50	2.251112e+03	5.031250e+01
444	33	Fc1_1221_Y.jpg	41	40	2.740414e+03	4.015625e+01
444	34	Fc1_1211_X.jpg	50	50	2.687073e+03	5.070312e+01
444	35	Fc1_1221_Y.jpg	38	40	1.883895e+03	4.054688e+01
444	36	Fc1_1211_X.jpg	48	50	2.551162e+03	5.031250e+01
