sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
444	1	Fc1_3221_Y.jpg	8	10	2.670675e+03	1.046875e+01
444	2	Fc1_1211_X.jpg	49	50	2.291385e+03	4.914062e+01
444	3	Fc1_1211_X.jpg	51	50	2.182208e+03	5.109375e+01
444	4	Fc1_3221_Y.jpg	9	10	2.308934e+03	1.046875e+01
444	5	Fc1_3221_Y.jpg	11	10	2.133919e+03	9.687500e+00
444	6	Fc1_1211_X.jpg	50	50	2.007627e+03	4.914062e+01
444	7	Fc1_1221_X.jpg	28	30	8.583283e+02	30
444	8	Fc1_1211_X.jpg	48	50	6.799552e+02	30
444	9	Fc1_1221_X.jpg	32	30	7.988417e+02	30
444	10	Fc1_1221_X.jpg	30	30	7.831118e+02	30
444	11	Fc1_1221_Y.jpg	42	40	2.288848e+03	4.093750e+01
444	12	Fc1_1221_Y.jpg	40	40	1.767995e+03	4.093750e+01
444	13	Fc1_1221_X.jpg	30	30	7.890622e+02	30
444	14	Fc1_1221_X.jpg	31	30	5.641554e+02	30
444	15	Fc1_1231_X.jpg	20	20	1.841290e+03	1.984375e+01
444	16	Fc1_1231_X.jpg	18	20	1.823078e+03	1.945312e+01
444	17	Fc1_3221_Y.jpg	12	10	4.010673e+03	1.125000e+01
444	18	Fc1_2221_Y.jpg	28	30	9.224121e+02	30
444	19	Fc1_1221_X.jpg	32	30	1.024398e+03	30
444	20	Fc1_1231_X.jpg	21	20	2.124304e+03	1.906250e+01
444	21	Fc1_1231_X.jpg	20	20	2.399158e+03	1.984375e+01
444	22	Fc1_1221_Y.jpg	41	40	2.158014e+03	4.093750e+01
444	23	Fc1_1221_Y.jpg	40	40	2.248611e+03	4.015625e+01
444	24	Fc1_2221_Y.jpg	30	30	1.621232e+03	30
444	25	Fc1_2221_Y.jpg	30	30	9.969146e+02	30
444	26	Fc1_1221_Y.jpg	38	40	2.173678e+03	3.976562e+01
444	27	Fc1_1211_X.jpg	52	50	2.424069e+03	5.031250e+01
444	28	Fc1_1211_X.jpg	49	50	2.532469e+03	4.992188e+01
444	29	Fc1_1231_X.jpg	19	20	1.891587e+03	2.023438e+01
444	30	Fc1_3221_Y.jpg	10	10	3.125719e+03	9.687500e+00
444	31	Fc1_3221_Y.jpg	8	10	4.250403e+03	1.085938e+01
444	32	Fc1_1221_Y.jpg	42	40	1.958593e+03	4.132812e+01
444	33	Fc1_2221_Y.jpg	31	30	1.091574e+03	30
444	34	Fc1_2221_Y.jpg	28	30	6.136753e+02	30
444	35	Fc1_2221_Y.jpg	32	30	7.990685e+02	30
444	36	Fc1_1231_X.jpg	20	20	2.010060e+03	1.945312e+01
