sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
452	1	Fc1_1211_X.jpg	8	10	4.577704e+03	1.125000e+01
452	2	Fc1_1211_X.jpg	12	10	2.541540e+03	1.085938e+01
452	3	Fc1_1221_Y.jpg	19	20	5.009724e+03	3.703125e+01
452	4	Fc1_1221_Y.jpg	20	20	2.459334e+03	1.945312e+01
452	5	Fc1_2221_Y.jpg	31	30	3.808497e+03	3.039062e+01
452	6	Fc1_2221_Y.jpg	29	30	2.509097e+03	30
452	7	Fc1_1221_Y.jpg	21	20	2.180858e+03	2.218750e+01
452	8	Fc1_1221_Y.jpg	22	20	3.474008e+03	3.117188e+01
452	9	Fc1_1211_X.jpg	9	10	2.414861e+03	1.046875e+01
452	10	Fc1_1211_X.jpg	10	10	2.342998e+03	9.687500e+00
452	11	Fc1_2221_Y.jpg	28	30	1.663897e+03	30
452	12	Fc1_2221_Y.jpg	30	30	9.386164e+02	30
452	13	Fc1_1211_X.jpg	11	10	2.932637e+03	8.515625e+00
452	14	Fc1_1211_X.jpg	8	10	8.730251e+02	30
452	15	Fc1_2221_Y.jpg	32	30	2.030873e+03	30
452	16	Fc1_2221_Y.jpg	31	30	1.325022e+03	3.078125e+01
452	17	Fc1_1221_Y.jpg	20	20	3.698881e+03	2.101562e+01
452	18	Fc1_1221_Y.jpg	19	20	1.558717e+03	2.179688e+01
452	19	Fc1_1221_X.jpg	29	30	5.000328e+03	4.054688e+01
452	20	Fc1_1221_X.jpg	28	30	3.657692e+03	30
452	21	Fc1_1231_X.jpg	41	40	3.198598e+03	3.937500e+01
452	22	Fc1_1231_X.jpg	39	40	5.009907e+03	3.859375e+01
452	23	Fc1_3221_Y.jpg	51	50	2.733014e+03	5.031250e+01
452	24	Fc1_3221_Y.jpg	50	50	2.443211e+03	5.070312e+01
452	25	Fc1_1221_X.jpg	30	30	1.849889e+03	30
452	26	Fc1_1221_X.jpg	32	30	8.570496e+02	30
452	27	Fc1_1231_X.jpg	40	40	1.696296e+03	3.820312e+01
452	28	Fc1_1231_X.jpg	40	40	1.940023e+03	3.937500e+01
452	29	Fc1_1221_X.jpg	31	30	1.095991e+03	30
452	30	Fc1_1221_X.jpg	29	30	5.883492e+02	30
452	31	Fc1_3221_Y.jpg	50	50	2.130415e+03	5.070312e+01
452	32	Fc1_3221_Y.jpg	49	50	1.773293e+03	5.070312e+01
452	33	Fc1_1231_X.jpg	38	40	2.047973e+03	3.781250e+01
452	34	Fc1_3221_Y.jpg	48	50	2.091683e+03	5.304688e+01
452	35	Fc1_1231_X.jpg	41	40	3.891304e+03	3.781250e+01
452	36	Fc1_3221_Y.jpg	51	50	1.997139e+03	5.148438e+01
