sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
452	1	Fc1_2221_Y.jpg	28	30	1.565234e+03	30
452	2	Fc1_2221_Y.jpg	30	30	5.564311e+02	30
452	3	Fc1_2221_Y.jpg	32	30	5.396362e+02	30
452	4	Fc1_1221_X.jpg	30	30	2.264157e+03	3.039062e+01
452	5	Fc1_1221_X.jpg	31	30	2.423052e+03	30
452	6	Fc1_1221_X.jpg	28	30	5.061761e+02	30
452	7	Fc1_3221_Y.jpg	50	50	2.096073e+03	5.265625e+01
452	8	Fc1_3221_Y.jpg	52	50	2.824445e+03	5.031250e+01
452	9	Fc1_1211_X.jpg	9	10	3.550427e+03	1.007812e+01
452	10	Fc1_1211_X.jpg	11	10	2.006667e+03	1.046875e+01
452	11	Fc1_1231_X.jpg	39	40	2.463299e+03	3.859375e+01
452	12	Fc1_1231_X.jpg	40	40	1.655957e+03	3.859375e+01
452	13	Fc1_1221_Y.jpg	21	20	2.261951e+03	1.750000e+01
452	14	Fc1_3221_Y.jpg	50	50	2.467485e+03	5.109375e+01
452	15	Fc1_1221_Y.jpg	22	20	2.757511e+03	1.750000e+01
452	16	Fc1_1221_Y.jpg	19	20	2.725940e+03	1.984375e+01
452	17	Fc1_1231_X.jpg	42	40	2.430308e+03	3.781250e+01
452	18	Fc1_1211_X.jpg	8	10	2.364800e+03	9.296875e+00
452	19	Fc1_1231_X.jpg	41	40	3.975976e+03	3.859375e+01
452	20	Fc1_3221_Y.jpg	51	50	2.315448e+03	4.953125e+01
452	21	Fc1_3221_Y.jpg	48	50	2.007342e+03	5.031250e+01
452	22	Fc1_3221_Y.jpg	50	50	2.023696e+03	4.992188e+01
452	23	Fc1_1221_X.jpg	30	30	3.096323e+03	2.921875e+01
452	24	Fc1_2221_Y.jpg	32	30	1.065107e+03	30
452	25	Fc1_1211_X.jpg	12	10	2.430051e+03	1.007812e+01
452	26	Fc1_1211_X.jpg	10	10	2.356842e+03	1.046875e+01
452	27	Fc1_1221_Y.jpg	18	20	2.747460e+03	2.023438e+01
452	28	Fc1_1221_Y.jpg	20	20	3.174000e+03	1.945312e+01
452	29	Fc1_1221_Y.jpg	21	20	1.705104e+03	1.984375e+01
452	30	Fc1_1221_X.jpg	30	30	1.663413e+03	3.039062e+01
452	31	Fc1_1221_X.jpg	31	30	2.724837e+03	3.039062e+01
452	32	Fc1_2221_Y.jpg	28	30	8.816245e+02	30
452	33	Fc1_2221_Y.jpg	30	30	1.287585e+03	30
452	34	Fc1_1231_X.jpg	38	40	2.884688e+03	3.937500e+01
452	35	Fc1_1231_X.jpg	39	40	2.038929e+03	3.781250e+01
452	36	Fc1_1211_X.jpg	9	10	2.281450e+03	1.125000e+01
