SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
438	2	1	Fa3_1111.jpg	30	summ	60	5.637191e+02	60	3.007866e+00	6.025133e+00	1.151268e+01	1.452666e+01
438	2	2	Fa2_2322.jpg	40	conj	4.125000e+01	2.442227e+03	60	2.251138e+01	2.552855e+01	3.151108e+01	3.451986e+01
438	2	3	Fa3_1231.jpg	70	summ	7.050000e+01	1.490483e+03	60	3.851415e+01	4.153142e+01	4.551299e+01	4.852012e+01
438	2	4	Fa3_1321.jpg	80	summ	8.250000e+01	-999	60	5.351680e+01	5.653407e+01	6.151112e+01	6.467033e+01
438	2	5	Fa2_2323.jpg	70	conj	6.975000e+01	2.626938e+03	60	6.950404e+01	7.252067e+01	7.951140e+01	8.252166e+01
438	2	6	Fa3_1331.jpg	90	summ	90	-999	60	8.850627e+01	9.152350e+01	9.901166e+01	1.020584e+02
438	2	7	Fa2_2122.jpg	90	conj	8.850000e+01	2.434003e+03	60	1.095100e+02	1.125272e+02	1.165108e+02	1.195281e+02
438	2	8	Fa2_2121.jpg	30	conj	3.225000e+01	2.527320e+03	60	1.255127e+02	1.285300e+02	1.350111e+02	1.380213e+02
438	2	9	Fa2_2221.jpg	80	conj	7.875000e+01	1.660841e+03	60	1.450162e+02	1.480333e+02	1.535112e+02	1.565219e+02
438	2	10	Fa2_2122.jpg	90	conj	9.225000e+01	2.544125e+03	60	1.635053e+02	1.665220e+02	1.710112e+02	1.740218e+02
438	2	11	Fa2_2121.jpg	30	conj	3.225000e+01	2.478027e+03	60	1.800056e+02	1.830229e+02	1.910132e+02	1.940244e+02
438	2	12	Fa3_1121.jpg	50	summ	4.575000e+01	-999	60	1.990090e+02	2.020260e+02	2.070134e+02	2.100605e+02
438	2	13	Fa3_1321.jpg	80	summ	81	2.385977e+03	60	2.145117e+02	2.175288e+02	2.235109e+02	2.265225e+02
438	2	14	Fa3_1211.jpg	40	summ	4.050000e+01	2.259981e+03	60	2.340151e+02	2.370322e+02	2.450129e+02	2.480228e+02
438	2	15	Fa2_2322.jpg	40	conj	42	2.026953e+03	60	2.525183e+02	2.555354e+02	2.610129e+02	2.640230e+02
438	2	16	Fa3_1121.jpg	50	summ	4.725000e+01	1.777235e+03	60	2.685066e+02	2.715234e+02	2.755127e+02	2.785232e+02
438	2	17	Fa3_1111.jpg	30	summ	2.850000e+01	2.431335e+03	60	2.865075e+02	2.895246e+02	2.965115e+02	2.995262e+02
438	2	18	Fa3_1211.jpg	40	summ	42	2.333864e+03	60	3.070110e+02	3.100282e+02	3.175126e+02	3.205298e+02
438	2	19	Fa2_2223.jpg	50	conj	4.875000e+01	1.636552e+03	60	3.275145e+02	3.305318e+02	3.345127e+02	3.375240e+02
438	2	20	Fa2_2323.jpg	70	conj	72	1.528380e+03	60	3.455076e+02	3.485243e+02	3.565129e+02	3.595245e+02
438	2	21	Fa2_2221.jpg	80	conj	81	1.630162e+03	60	3.655080e+02	3.685246e+02	3.740114e+02	3.770245e+02
438	2	22	Fa3_1331.jpg	90	summ	8.925000e+01	1.930335e+03	60	3.820082e+02	3.850248e+02	3.930125e+02	3.960262e+02
438	2	23	Fa3_1231.jpg	70	summ	7.425000e+01	1.833225e+03	60	4.035111e+02	4.065283e+02	4.105126e+02	4.135293e+02
438	2	24	Fa2_2223.jpg	50	conj	7.050000e+01	1.487664e+03	60	4.180136e+02	4.210309e+02	4.270112e+02	4.300254e+02
