SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
416	1	1	Fc1_2211.jpg	80	summ	NaN	NaN	NaN	3.011300e+00	6.028476e+00	NaN	Nan
416	1	2	bid	NaN	NaN	7.725000e+01	-999	60	NaN	Nan	1.405287e+01	1.709684e+01
416	1	3	Fc3_1313.jpg	30	conj	NaN	NaN	NaN	2.401490e+01	2.703213e+01	NaN	Nan
416	1	4	bid	NaN	NaN	2.850000e+01	-999	60	NaN	Nan	3.251881e+01	3.555634e+01
416	1	5	Fc1_1221.jpg	70	summ	NaN	NaN	NaN	3.951768e+01	4.253491e+01	NaN	Nan
416	1	6	bid	NaN	NaN	7.050000e+01	1.510097e+03	60	NaN	Nan	4.851331e+01	5.152316e+01
416	1	7	Fc3_1213.jpg	90	conj	NaN	NaN	NaN	5.750686e+01	6.052356e+01	NaN	Nan
416	1	8	bid	NaN	NaN	8.850000e+01	1.693453e+03	60	NaN	Nan	6.651337e+01	6.952350e+01
416	1	9	Fc1_3231.jpg	30	summ	NaN	NaN	NaN	7.700758e+01	8.002479e+01	NaN	Nan
416	1	10	bid	NaN	NaN	3.225000e+01	1.746523e+03	60	NaN	Nan	8.501274e+01	8.802589e+01
416	1	11	Fc3_1111.jpg	70	conj	NaN	NaN	NaN	9.251035e+01	9.552753e+01	NaN	Nan
416	1	12	bid	NaN	NaN	6.975000e+01	2.215548e+03	60	NaN	Nan	1.030135e+02	1.060291e+02
416	1	13	Fc3_1312.jpg	80	conj	NaN	NaN	NaN	1.135139e+02	1.165312e+02	NaN	Nan
416	1	14	bid	NaN	NaN	5.025000e+01	1.652432e+03	60	NaN	Nan	1.210130e+02	1.240244e+02
416	1	15	Fc1_1211.jpg	90	summ	NaN	NaN	NaN	1.300168e+02	1.330340e+02	NaN	Nan
416	1	16	bid	NaN	NaN	8.925000e+01	-999	60	NaN	Nan	1.380140e+02	1.410577e+02
