SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
454	3	1	Fa2_2122.jpg	90	conj	8.625000e+01	-999	60	3.014822e+00	6.032109e+00	1.101381e+01	1.405241e+01
454	3	2	Fa3_1211.jpg	40	summ	42	2.973671e+03	60	2.201829e+01	2.503622e+01	3.251371e+01	3.572041e+01
454	3	3	Fa3_1231.jpg	70	summ	8.025000e+01	2.976705e+03	60	4.250510e+01	4.552232e+01	5.151378e+01	5.470698e+01
454	3	4	Fa2_2322.jpg	40	conj	42	-999	60	5.850796e+01	6.152510e+01	6.751308e+01	7.057002e+01
454	3	5	Fa3_1321.jpg	80	summ	7.950000e+01	-999	60	7.451076e+01	7.752799e+01	8.351374e+01	8.655345e+01
454	3	6	Fa2_2121.jpg	30	conj	84	-999	60	9.101335e+01	9.403088e+01	9.901354e+01	1.020538e+02
454	3	7	Fa3_1121.jpg	50	summ	4.950000e+01	-999	60	1.070162e+02	1.100337e+02	1.180139e+02	1.210540e+02
454	3	8	Fa2_2221.jpg	80	conj	7.950000e+01	2.592397e+03	60	1.285044e+02	1.315211e+02	1.390133e+02	1.420222e+02
454	3	9	Fa3_1331.jpg	90	summ	9.375000e+01	-999	60	1.480067e+02	1.510241e+02	1.585136e+02	1.615590e+02
454	3	10	Fa2_2223.jpg	50	conj	5.175000e+01	-999	60	1.660101e+02	1.690273e+02	1.735136e+02	1.765616e+02
454	3	11	Fa2_2323.jpg	70	conj	6.750000e+01	-999	60	1.825126e+02	1.855301e+02	1.925133e+02	1.955550e+02
454	3	12	Fa3_1111.jpg	30	summ	3.075000e+01	-999	60	2.010162e+02	2.040334e+02	2.090156e+02	2.120552e+02
454	3	13	Fa3_1321.jpg	80	summ	9.075000e+01	-999	60	2.190053e+02	2.220220e+02	2.270137e+02	2.300554e+02
454	3	14	Fa2_2221.jpg	80	conj	78	-999	60	2.380059e+02	2.410231e+02	2.450128e+02	2.482074e+02
454	3	15	Fa2_2122.jpg	90	conj	9.375000e+01	-999	60	2.520082e+02	2.550256e+02	2.600136e+02	2.630600e+02
454	3	16	Fa3_1121.jpg	50	summ	48	2.349231e+03	60	2.685112e+02	2.715284e+02	2.775138e+02	2.805297e+02
454	3	17	Fa2_2223.jpg	50	conj	5.025000e+01	2.475567e+03	60	2.850141e+02	2.880313e+02	2.960144e+02	2.990330e+02
454	3	18	Fa2_2323.jpg	70	conj	6.750000e+01	1.827043e+03	60	3.070178e+02	3.100351e+02	3.140131e+02	3.170232e+02
454	3	19	Fa3_1211.jpg	40	summ	4.275000e+01	-999	60	3.225069e+02	3.255236e+02	3.330136e+02	3.360735e+02
454	3	20	Fa2_2121.jpg	30	conj	90	2.829159e+03	60	3.405069e+02	3.435242e+02	3.500133e+02	3.530422e+02
454	3	21	Fa2_2322.jpg	40	conj	60	-999	60	3.590099e+02	3.620274e+02	3.675129e+02	3.705619e+02
454	3	22	Fa3_1231.jpg	70	summ	8.175000e+01	-999	60	3.775134e+02	3.805306e+02	3.845137e+02	3.875649e+02
454	3	23	Fa3_1111.jpg	30	summ	27	-999	60	3.955166e+02	3.985337e+02	4.060150e+02	4.090577e+02
454	3	24	Fa3_1331.jpg	90	summ	7.650000e+01	-999	60	4.160078e+02	4.190248e+02	4.270123e+02	4.300580e+02
