SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
443	1	1	Fc3_1111.jpg	90	summ	9.075000e+01	2.710148e+03	60	3.017563e+00	6.034341e+00	1.104678e+01	1.405687e+01
443	1	2	Fc1_2211.jpg	40	conj	8.850000e+01	-999	60	2.201787e+01	2.503463e+01	3.251665e+01	3.555122e+01
443	1	3	Fc1_2231.jpg	90	conj	3.975000e+01	1.656542e+03	60	4.251188e+01	4.552911e+01	5.151174e+01	5.451811e+01
443	1	4	Fc3_1211.jpg	80	summ	8.325000e+01	-999	60	5.851472e+01	6.153193e+01	6.751279e+01	7.055176e+01
443	1	5	Fc1_3231.jpg	30	conj	7.650000e+01	-999	60	7.451750e+01	7.753553e+01	8.351321e+01	8.663636e+01
443	1	6	Fc1_3221.jpg	80	conj	33	2.392328e+03	60	9.100377e+01	9.402100e+01	9.901309e+01	1.020221e+02
443	1	7	Fc3_1211.jpg	80	summ	8.025000e+01	2.363860e+03	60	1.070065e+02	1.100238e+02	1.180116e+02	1.210254e+02
443	1	8	Fc3_1213.jpg	50	summ	4.875000e+01	2.516183e+03	60	1.285104e+02	1.315275e+02	1.390129e+02	1.420291e+02
443	1	9	Fc3_1313.jpg	30	summ	3.225000e+01	-999	60	1.480137e+02	1.510309e+02	1.585112e+02	1.615529e+02
443	1	10	Fc3_1312.jpg	40	summ	3.825000e+01	2.140282e+03	60	1.660165e+02	1.690340e+02	1.735131e+02	1.765199e+02
443	1	11	Fc1_3231.jpg	30	conj	7.875000e+01	2.008468e+03	60	1.825036e+02	1.855203e+02	1.925132e+02	1.955217e+02
443	1	12	Fc3_1112.jpg	70	summ	7.125000e+01	2.279976e+03	60	2.010063e+02	2.040235e+02	2.090113e+02	2.120246e+02
443	1	13	Fc1_1221.jpg	50	conj	5.325000e+01	-999	60	2.190094e+02	2.220266e+02	2.270109e+02	2.300443e+02
443	1	14	Fc1_2231.jpg	90	conj	4.050000e+01	2.993247e+03	60	2.380127e+02	2.410299e+02	2.450110e+02	2.481875e+02
443	1	15	Fc1_2211.jpg	40	conj	93	-999	60	2.520149e+02	2.550323e+02	2.600126e+02	2.630543e+02
443	1	16	Fc3_1312.jpg	40	summ	4.125000e+01	1.760412e+03	60	2.685180e+02	2.715353e+02	2.775110e+02	2.805213e+02
443	1	17	Fc3_1112.jpg	70	summ	6.750000e+01	-999	60	2.850049e+02	2.880217e+02	2.960137e+02	2.990565e+02
443	1	18	Fc3_1111.jpg	90	summ	9.150000e+01	-999	60	3.070080e+02	3.100252e+02	3.140132e+02	3.170595e+02
443	1	19	Fc1_1211.jpg	70	conj	69	1.767693e+03	60	3.225107e+02	3.255279e+02	3.330117e+02	3.360220e+02
443	1	20	Fc1_1221.jpg	50	conj	48	2.711396e+03	60	3.405139e+02	3.435311e+02	3.500110e+02	3.530222e+02
443	1	21	Fc3_1313.jpg	30	summ	30	2.811814e+03	60	3.590170e+02	3.620343e+02	3.675110e+02	3.705224e+02
443	1	22	Fc1_1211.jpg	70	conj	6.750000e+01	-999	60	3.775059e+02	3.805229e+02	3.845127e+02	3.875559e+02
443	1	23	Fc1_3221.jpg	80	conj	2.850000e+01	-999	60	3.955068e+02	3.985239e+02	4.060121e+02	4.090589e+02
443	1	24	Fc3_1213.jpg	50	summ	3.375000e+01	-999	60	4.160103e+02	4.190276e+02	4.270109e+02	4.300459e+02
