sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
406	1	Fa2_2121.jpg	28	30	5.008417e+03	2.937500e+01
406	2	Fa2_2121.jpg	31	30	2.556390e+03	2.937500e+01
406	3	Fa2_2323.jpg	72	70	5.013040e+03	7.312500e+01
406	4	Fa2_2323.jpg	68	70	3.423443e+03	7.062500e+01
406	5	Fa2_2223.jpg	49	50	3.128801e+03	50
406	6	Fa2_2223.jpg	50	50	2.619928e+03	4.875000e+01
406	7	Fa2_2221.jpg	80	80	4.011939e+03	8.125000e+01
406	8	Fa2_2121.jpg	32	30	5.000358e+03	6.687500e+01
406	9	Fa2_2322.jpg	40	40	4.831869e+03	4.062500e+01
406	10	Fa2_2322.jpg	39	40	2.772853e+03	40
406	11	Fa2_2122.jpg	90	90	4.947708e+03	9.062500e+01
406	12	Fa2_2122.jpg	91	90	2.153758e+03	8.937500e+01
406	13	Fa2_2221.jpg	82	80	4.146343e+03	3.062500e+01
406	14	Fa2_2221.jpg	81	80	2.970456e+03	7.937500e+01
406	15	Fa2_2122.jpg	88	90	4.897547e+03	9.125000e+01
406	16	Fa2_2223.jpg	51	50	4.547968e+03	5.187500e+01
406	17	Fa2_2221.jpg	80	80	4.997839e+03	30
406	18	Fa2_2221.jpg	80	80	2.312941e+03	8.125000e+01
406	19	Fa2_2322.jpg	40	40	4.097146e+03	3.875000e+01
406	20	Fa2_2121.jpg	29	30	3.477988e+03	3.062500e+01
406	21	Fa2_2121.jpg	30	30	2.804079e+03	2.875000e+01
406	22	Fa2_2223.jpg	52	50	4.766607e+03	5.062500e+01
406	23	Fa2_2223.jpg	50	50	3.128634e+03	50
406	24	Fa2_2223.jpg	50	50	2.039287e+03	4.875000e+01
406	25	Fa2_2323.jpg	71	70	3.795871e+03	70
406	26	Fa2_2122.jpg	90	90	4.498200e+03	9.125000e+01
406	27	Fa2_2122.jpg	92	90	2.404599e+03	8.875000e+01
406	28	Fa2_2323.jpg	69	70	3.731629e+03	70
406	29	Fa2_2323.jpg	70	70	1.652261e+03	7.125000e+01
406	30	Fa2_2322.jpg	40	40	2.180478e+03	40
406	31	Fa2_2322.jpg	41	40	2.737609e+03	4.062500e+01
406	32	Fa2_2322.jpg	38	40	2.421617e+03	3.937500e+01
406	33	Fa2_2323.jpg	70	70	4.246039e+03	6.875000e+01
406	34	Fa2_2221.jpg	79	80	4.109940e+03	8.062500e+01
406	35	Fa2_2122.jpg	89	90	5.012855e+03	60
406	36	Fa2_2121.jpg	30	30	4.479732e+03	2.937500e+01
