sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
437	1	Fa2_2121_X.jpg	12	10	2.436608e+03	1.203125e+01
437	2	Fa2_2121_X.jpg	10	10	2.168747e+03	1.085938e+01
437	3	Fa2_2222_Y.jpg	31	30	9.564116e+02	30
437	4	Fa2_2121_X.jpg	8	10	1.834845e+03	1.203125e+01
437	5	Fa2_2121_X.jpg	10	10	1.551163e+03	1.398438e+01
437	6	Fa2_2123_X.jpg	42	40	2.410030e+03	3.976562e+01
437	7	Fa2_2123_X.jpg	40	40	1.633790e+03	4.289062e+01
437	8	Fa2_2222_Y.jpg	29	30	1.091726e+03	30
437	9	Fa2_2123_X.jpg	38	40	1.765274e+03	4.132812e+01
437	10	Fa2_2123_X.jpg	41	40	1.667534e+03	4.054688e+01
437	11	Fa2_2123_X.jpg	39	40	2.034698e+03	4.171875e+01
437	12	Fa2_2222_Y.jpg	28	30	9.240008e+02	30
437	13	Fa2_2222_Y.jpg	30	30	7.515435e+02	30
437	14	Fa2_2123_X.jpg	42	40	1.892617e+03	4.250000e+01
437	15	Fa2_2322_Y.jpg	48	50	2.675618e+03	5.187500e+01
437	16	Fa2_2322_Y.jpg	51	50	2.506660e+03	5.070312e+01
437	17	Fa2_2322_Y.jpg	52	50	2.753028e+03	5.109375e+01
437	18	Fa2_2322_Y.jpg	50	50	2.370829e+03	5.109375e+01
437	19	Fa2_2122_X.jpg	30	30	1.241374e+03	30
437	20	Fa2_2122_Y.jpg	19	20	2.308277e+03	1.828125e+01
437	21	Fa2_2122_X.jpg	31	30	1.159343e+03	30
437	22	Fa2_2122_X.jpg	29	30	1.234292e+03	30
437	23	Fa2_2121_X.jpg	11	10	2.094005e+03	1.242188e+01
437	24	Fa2_2122_X.jpg	28	30	9.502570e+02	30
437	25	Fa2_2122_X.jpg	30	30	9.173131e+02	30
437	26	Fa2_2122_Y.jpg	20	20	3.043962e+03	1.945312e+01
437	27	Fa2_2322_Y.jpg	50	50	2.242009e+03	5.109375e+01
437	28	Fa2_2122_X.jpg	30	30	1.191758e+03	30
437	29	Fa2_2222_Y.jpg	31	30	9.584308e+02	30
437	30	Fa2_2222_Y.jpg	29	30	8.350019e+02	30
437	31	Fa2_2122_Y.jpg	22	20	2.292632e+03	1.671875e+01
437	32	Fa2_2122_Y.jpg	21	20	1.384546e+03	1.984375e+01
437	33	Fa2_2121_X.jpg	12	10	2.510217e+03	9.687500e+00
437	34	Fa2_2322_Y.jpg	48	50	2.159267e+03	5.109375e+01
437	35	Fa2_2122_Y.jpg	18	20	1.575603e+03	2.101562e+01
437	36	Fa2_2122_Y.jpg	19	20	1.569081e+03	2.062500e+01
