SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
452	1	1	Fc3_1111.jpg	30	conj	NaN	NaN	NaN	3.014443e+00	6.031687e+00	NaN	Nan
452	1	2	bid	NaN	NaN	8.850000e+01	-999	60	NaN	Nan	1.204927e+01	1.508294e+01
452	1	3	Fc3_1312.jpg	40	conj	NaN	NaN	NaN	2.001751e+01	2.303467e+01	NaN	Nan
452	1	4	bid	NaN	NaN	3.750000e+01	-999	60	NaN	Nan	2.801962e+01	3.105994e+01
452	1	5	Fc1_2231.jpg	70	summ	NaN	NaN	NaN	3.851030e+01	4.152704e+01	NaN	Nan
452	1	6	bid	NaN	NaN	6.975000e+01	-999	60	NaN	Nan	4.751375e+01	5.056055e+01
452	1	7	Fc3_1211.jpg	80	conj	NaN	NaN	NaN	5.651059e+01	5.952721e+01	NaN	Nan
452	1	8	bid	NaN	NaN	7.950000e+01	-999	60	NaN	Nan	6.451336e+01	6.756048e+01
452	1	9	Fc1_3231.jpg	90	summ	NaN	NaN	NaN	7.551079e+01	7.852772e+01	NaN	Nan
452	1	10	bid	NaN	NaN	9.075000e+01	-999	60	NaN	Nan	8.401231e+01	8.704568e+01
452	1	11	Fc3_1112.jpg	90	conj	NaN	NaN	NaN	9.151311e+01	9.453060e+01	NaN	Nan
452	1	12	bid	NaN	NaN	8.925000e+01	-999	60	NaN	Nan	1.015139e+02	1.045487e+02
452	1	13	Fc1_1211.jpg	30	summ	NaN	NaN	NaN	1.105167e+02	1.135339e+02	NaN	Nan
452	1	14	bid	NaN	NaN	30	-999	60	NaN	Nan	1.210133e+02	1.240521e+02
452	1	15	Fc1_3231.jpg	90	summ	NaN	NaN	NaN	1.320116e+02	1.350284e+02	NaN	Nan
452	1	16	bid	NaN	NaN	8.775000e+01	-999	60	NaN	Nan	1.425137e+02	1.455615e+02
452	1	17	Fc1_3221.jpg	80	summ	NaN	NaN	NaN	1.535119e+02	1.565286e+02	NaN	Nan
452	1	18	bid	NaN	NaN	8.325000e+01	-999	60	NaN	Nan	1.645134e+02	1.675618e+02
452	1	19	Fc1_2211.jpg	40	summ	NaN	NaN	NaN	1.750122e+02	1.780289e+02	NaN	Nan
452	1	20	bid	NaN	NaN	39	-999	60	NaN	Nan	1.840134e+02	1.870630e+02
452	1	21	Fc3_1313.jpg	70	conj	NaN	NaN	NaN	1.915140e+02	1.945313e+02	NaN	Nan
452	1	22	bid	NaN	NaN	72	-999	60	NaN	Nan	2.025137e+02	2.055496e+02
452	1	23	Fc3_1213.jpg	50	conj	NaN	NaN	NaN	2.110174e+02	2.140347e+02	NaN	Nan
452	1	24	bid	NaN	NaN	5.325000e+01	-999	60	NaN	Nan	2.180127e+02	2.210523e+02
452	1	25	Fc1_1211.jpg	30	summ	NaN	NaN	NaN	2.285129e+02	2.315295e+02	NaN	Nan
452	1	26	bid	NaN	NaN	33	-999	60	NaN	Nan	2.395134e+02	2.425628e+02
452	1	27	Fc3_1313.jpg	70	conj	NaN	NaN	NaN	2.485131e+02	2.515298e+02	NaN	Nan
452	1	28	bid	NaN	NaN	7.125000e+01	-999	60	NaN	Nan	2.555129e+02	2.585462e+02
452	1	29	Fc1_2211.jpg	40	summ	NaN	NaN	NaN	2.625133e+02	2.655300e+02	NaN	Nan
452	1	30	bid	NaN	NaN	45	-999	60	NaN	Nan	2.695137e+02	2.725632e+02
452	1	31	Fc1_1221.jpg	50	summ	NaN	NaN	NaN	2.765134e+02	2.795301e+02	NaN	Nan
452	1	32	bid	NaN	NaN	4.875000e+01	-999	60	NaN	Nan	2.865135e+02	2.895475e+02
452	1	33	Fc3_1112.jpg	90	conj	NaN	NaN	NaN	2.940152e+02	2.970324e+02	NaN	Nan
452	1	34	bid	NaN	NaN	90	-999	60	NaN	Nan	3.050132e+02	3.080507e+02
452	1	35	Fc1_3221.jpg	80	summ	NaN	NaN	NaN	3.130185e+02	3.160357e+02	NaN	Nan
452	1	36	bid	NaN	NaN	90	-999	60	NaN	Nan	3.230127e+02	3.260538e+02
452	1	37	Fc1_2231.jpg	70	summ	NaN	NaN	NaN	3.315142e+02	3.345309e+02	NaN	Nan
452	1	38	bid	NaN	NaN	7.050000e+01	-999	60	NaN	Nan	3.385138e+02	3.415473e+02
452	1	39	Fc3_1213.jpg	50	conj	NaN	NaN	NaN	3.485143e+02	3.515311e+02	NaN	Nan
452	1	40	bid	NaN	NaN	4.950000e+01	-999	60	NaN	Nan	3.565145e+02	3.595642e+02
452	1	41	Fc1_1221.jpg	50	summ	NaN	NaN	NaN	3.640143e+02	3.670312e+02	NaN	Nan
452	1	42	bid	NaN	NaN	4.950000e+01	-999	60	NaN	Nan	3.730139e+02	3.760477e+02
452	1	43	Fc3_1211.jpg	80	conj	NaN	NaN	NaN	3.805148e+02	3.835314e+02	NaN	Nan
452	1	44	bid	NaN	NaN	8.175000e+01	-999	60	NaN	Nan	3.890137e+02	3.920485e+02
452	1	45	Fc3_1111.jpg	30	conj	NaN	NaN	NaN	3.995167e+02	4.025339e+02	NaN	Nan
452	1	46	bid	NaN	NaN	2.850000e+01	-999	60	NaN	Nan	4.090157e+02	4.120521e+02
452	1	47	Fc3_1312.jpg	40	conj	NaN	NaN	NaN	4.190153e+02	4.220319e+02	NaN	Nan
452	1	48	bid	NaN	NaN	3.975000e+01	-999	60	NaN	Nan	4.270132e+02	4.300552e+02
