Contrast,Cluster,Region,Number_of_voxels_in_the_region,Cluster_size,X,Y,Z,Peak_Z_value,p
ConjStim_mod_value_GroupMean,1,L._Postcentral_Gyrus,138,172,-42,-26,62,5.340,3.34e-06
,,L._Precentral_Gyrus,19,,,,,,
