SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
424	4	1	Fc3_1211.jpg	80	conj	NaN	NaN	NaN	3.010993e+00	6.027705e+00	NaN	Nan
424	4	2	bid	NaN	NaN	4.650000e+01	2.864847e+03	60	NaN	Nan	1.401362e+01	1.716179e+01
424	4	3	Fc1_1221.jpg	50	summ	NaN	NaN	NaN	2.401328e+01	2.703042e+01	NaN	Nan
424	4	4	bid	NaN	NaN	75	1.551542e+03	60	NaN	Nan	3.251333e+01	3.552817e+01
424	4	5	Fc3_1211.jpg	80	conj	NaN	NaN	NaN	3.951597e+01	4.253311e+01	NaN	Nan
424	4	6	bid	NaN	NaN	2.850000e+01	-999	60	NaN	Nan	4.851359e+01	5.155108e+01
424	4	7	Fc3_1312.jpg	40	conj	NaN	NaN	NaN	5.751160e+01	6.052847e+01	NaN	Nan
424	4	8	bid	NaN	NaN	5.850000e+01	-999	60	NaN	Nan	6.651337e+01	6.956168e+01
424	4	9	Fc3_1313.jpg	70	conj	NaN	NaN	NaN	7.701186e+01	8.002875e+01	NaN	Nan
424	4	10	bid	NaN	NaN	7.875000e+01	1.915997e+03	60	NaN	Nan	8.501277e+01	8.802866e+01
424	4	11	Fc1_2211.jpg	40	summ	NaN	NaN	NaN	9.251233e+01	9.552877e+01	NaN	Nan
424	4	12	bid	NaN	NaN	48	1.982041e+03	60	NaN	Nan	1.030136e+02	1.060289e+02
424	4	13	Fc1_3221.jpg	80	summ	NaN	NaN	NaN	1.135126e+02	1.165294e+02	NaN	Nan
424	4	14	bid	NaN	NaN	7.425000e+01	2.234134e+03	60	NaN	Nan	1.210129e+02	1.240291e+02
424	4	15	Fc1_2231.jpg	70	summ	NaN	NaN	NaN	1.300150e+02	1.330323e+02	NaN	Nan
424	4	16	bid	NaN	NaN	60	1.569720e+03	60	NaN	Nan	1.380136e+02	1.410293e+02
424	4	17	Fc1_3231.jpg	90	summ	NaN	NaN	NaN	1.470130e+02	1.500297e+02	NaN	Nan
424	4	18	bid	NaN	NaN	78	1.673385e+03	60	NaN	Nan	1.550128e+02	1.580296e+02
424	4	19	Fc3_1313.jpg	70	conj	NaN	NaN	NaN	1.640133e+02	1.670300e+02	NaN	Nan
424	4	20	bid	NaN	NaN	7.425000e+01	2.616545e+03	60	NaN	Nan	1.715136e+02	1.745297e+02
