sub_num	trial_num	stimulus	feedback	real_value	reaction_time	rating
415	1	Fc1_1211.jpg	70	70	3.898007e+03	7.062500e+01
415	2	Fc1_1211.jpg	71	70	1.104595e+03	7.187500e+01
415	3	Fc1_1211.jpg	70	70	1.522530e+03	7.062500e+01
415	4	Fc1_2231.jpg	90	90	2.213449e+03	8.937500e+01
415	5	Fc1_1221.jpg	50	50	4.749295e+03	5.125000e+01
415	6	Fc1_1221.jpg	50	50	1.523220e+03	5.062500e+01
415	7	Fc1_3221.jpg	78	80	2.295874e+03	8.062500e+01
415	8	Fc1_3231.jpg	29	30	2.513876e+03	30
415	9	Fc1_3231.jpg	28	30	1.723204e+03	3.125000e+01
415	10	Fc1_1211.jpg	69	70	3.098405e+03	7.125000e+01
415	11	Fc1_1211.jpg	68	70	1.272409e+03	70
415	12	Fc1_2211.jpg	40	40	2.128247e+03	4.125000e+01
415	13	Fc1_2231.jpg	91	90	2.262730e+03	8.875000e+01
415	14	Fc1_2231.jpg	90	90	1.756409e+03	8.875000e+01
415	15	Fc1_2211.jpg	42	40	1.981029e+03	40
415	16	Fc1_1221.jpg	50	50	3.732544e+03	5.062500e+01
415	17	Fc1_1221.jpg	49	50	1.245997e+03	4.937500e+01
415	18	Fc1_1211.jpg	70	70	3.782643e+03	6.750000e+01
415	19	Fc1_2211.jpg	40	40	1.747163e+03	4.062500e+01
415	20	Fc1_2211.jpg	41	40	2.039577e+03	4.062500e+01
415	21	Fc1_3231.jpg	30	30	1.931612e+03	3.062500e+01
415	22	Fc1_3231.jpg	30	30	1.791111e+03	3.125000e+01
415	23	Fc1_1221.jpg	51	50	3.597972e+03	7.875000e+01
415	24	Fc1_3221.jpg	80	80	4.266482e+03	7.687500e+01
415	25	Fc1_3221.jpg	80	80	4.180277e+03	7.875000e+01
415	26	Fc1_3221.jpg	79	80	1.681088e+03	7.937500e+01
415	27	Fc1_3221.jpg	82	80	1.638776e+03	7.875000e+01
415	28	Fc1_3221.jpg	81	80	1.519830e+03	7.875000e+01
415	29	Fc1_2231.jpg	88	90	2.664881e+03	3.125000e+01
415	30	Fc1_2211.jpg	40	40	2.378285e+03	4.062500e+01
415	31	Fc1_2211.jpg	38	40	1.355471e+03	3.937500e+01
415	32	Fc1_1221.jpg	48	50	5.015416e+03	6.375000e+01
415	33	Fc1_2231.jpg	92	90	3.349272e+03	8.812500e+01
415	34	Fc1_2231.jpg	89	90	3.039921e+03	8.937500e+01
415	35	Fc1_3231.jpg	30	30	2.646762e+03	2.937500e+01
415	36	Fc1_3231.jpg	31	30	1.922603e+03	30
