SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
310	2	1	Fa3_1121.jpg	50	summ	3.150000e+01	1.635378e+03	60	3.015154e+00	6.031817e+00	1.101368e+01	1.403235e+01
310	2	2	Fa2_2122.jpg	90	conj	8.925000e+01	1.341373e+03	60	2.201707e+01	2.503436e+01	3.251246e+01	3.551950e+01
310	2	3	Fa2_2121.jpg	30	conj	30	1.242672e+03	60	4.251571e+01	4.553243e+01	5.151323e+01	5.452275e+01
310	2	4	Fa3_1231.jpg	70	summ	60	1.200628e+02	60	5.851600e+01	6.153261e+01	6.751283e+01	7.052560e+01
310	2	5	Fa3_1331.jpg	90	summ	8.850000e+01	1.686070e+03	60	7.451615e+01	7.753286e+01	8.351353e+01	8.652837e+01
310	2	6	Fa3_1321.jpg	80	summ	69	2.319776e+03	60	9.101637e+01	9.403306e+01	9.901353e+01	1.020311e+02
310	2	7	Fa3_1211.jpg	40	summ	60	4.075782e+02	60	1.070165e+02	1.100333e+02	1.180138e+02	1.210174e+02
310	2	8	Fa2_2122.jpg	90	conj	9.075000e+01	1.660277e+03	60	1.285168e+02	1.315336e+02	1.390133e+02	1.420210e+02
310	2	9	Fa3_1111.jpg	30	summ	3.825000e+01	1.730681e+03	60	1.480171e+02	1.510338e+02	1.585136e+02	1.615246e+02
310	2	10	Fa2_2323.jpg	70	conj	69	1.815700e+03	60	1.660173e+02	1.690339e+02	1.735129e+02	1.765272e+02
310	2	11	Fa2_2121.jpg	30	conj	30	2.889591e+03	60	1.825175e+02	1.855342e+02	1.925136e+02	1.955305e+02
310	2	12	Fa2_2221.jpg	80	conj	7.875000e+01	2.488623e+03	60	2.010177e+02	2.040344e+02	2.090137e+02	2.120176e+02
310	2	13	Fa2_2322.jpg	40	conj	3.975000e+01	2.341957e+03	60	2.190179e+02	2.220385e+02	2.270135e+02	2.300196e+02
310	2	14	Fa3_1231.jpg	70	summ	60	7.624837e+02	60	2.380182e+02	2.410348e+02	2.450136e+02	2.480230e+02
310	2	15	Fa3_1331.jpg	90	summ	8.925000e+01	2.164073e+03	60	2.520205e+02	2.550351e+02	2.600136e+02	2.630255e+02
310	2	16	Fa3_1321.jpg	80	summ	60	5.263346e+02	60	2.685185e+02	2.715352e+02	2.775130e+02	2.805285e+02
310	2	17	Fa3_1211.jpg	40	summ	60	5.238056e+02	60	2.850187e+02	2.880355e+02	2.960135e+02	2.990318e+02
310	2	18	Fa3_1121.jpg	50	summ	3.825000e+01	2.325932e+03	60	3.070190e+02	3.100357e+02	3.140136e+02	3.170188e+02
310	2	19	Fa2_2323.jpg	70	conj	6.750000e+01	1.746155e+03	60	3.225024e+02	3.255197e+02	3.330136e+02	3.360221e+02
310	2	20	Fa2_2223.jpg	50	conj	4.950000e+01	2.263106e+03	60	3.405056e+02	3.435228e+02	3.500136e+02	3.530244e+02
310	2	21	Fa2_2322.jpg	40	conj	4.650000e+01	-999	60	3.590087e+02	3.620260e+02	3.675135e+02	3.705558e+02
310	2	22	Fa2_2223.jpg	50	conj	5.025000e+01	1.591361e+03	60	3.775120e+02	3.805291e+02	3.845135e+02	3.875303e+02
310	2	23	Fa2_2221.jpg	80	conj	8.025000e+01	2.290170e+03	60	3.955151e+02	3.985323e+02	4.060135e+02	4.090199e+02
310	2	24	Fa3_1111.jpg	30	summ	3.750000e+01	2.278009e+03	60	4.160186e+02	4.190369e+02	4.270136e+02	4.300207e+02
