SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
449	2	1	Fa2_2122.jpg	50	summ	5.025000e+01	2.029876e+03	60	3.010188e+00	6.026919e+00	1.101404e+01	1.402700e+01
449	2	2	Fa2_2221.jpg	40	summ	4.275000e+01	-999	60	2.201045e+01	2.502719e+01	3.251316e+01	3.556165e+01
449	2	3	Fa2_2223.jpg	70	summ	7.425000e+01	2.884704e+03	60	4.251282e+01	4.553010e+01	5.151379e+01	5.453160e+01
449	2	4	Fa3_1231.jpg	70	conj	7.275000e+01	2.287323e+03	60	5.851570e+01	6.153279e+01	6.751383e+01	7.052774e+01
449	2	5	Fa3_1331.jpg	50	conj	5.250000e+01	2.731549e+03	60	7.451847e+01	7.753558e+01	8.351332e+01	8.652798e+01
449	2	6	Fa3_1121.jpg	90	conj	9.150000e+01	-999	60	9.101135e+01	9.402810e+01	9.901381e+01	1.020613e+02
449	2	7	Fa3_1311.jpg	80	conj	8.025000e+01	2.398022e+03	60	1.070116e+02	1.100283e+02	1.180137e+02	1.210282e+02
449	2	8	Fa3_1111.jpg	30	conj	30	1.933808e+03	60	1.285119e+02	1.315286e+02	1.390126e+02	1.420299e+02
449	2	9	Fa3_1121.jpg	90	conj	9.075000e+01	2.269926e+03	60	1.480145e+02	1.510317e+02	1.585139e+02	1.615289e+02
449	2	10	Fa2_2121.jpg	30	summ	3.225000e+01	2.822436e+03	60	1.660177e+02	1.690348e+02	1.735138e+02	1.776360e+02
449	2	11	Fa2_2322.jpg	80	summ	8.175000e+01	-999	60	1.825125e+02	1.855292e+02	1.925136e+02	1.955627e+02
449	2	12	Fa2_2323.jpg	90	summ	90	2.399060e+03	60	2.010128e+02	2.040295e+02	2.090138e+02	2.120292e+02
449	2	13	Fa3_1221.jpg	40	conj	42	-999	60	2.190130e+02	2.220296e+02	2.270140e+02	2.300629e+02
449	2	14	Fa2_2322.jpg	80	summ	8.175000e+01	2.785000e+03	60	2.380134e+02	2.410306e+02	2.450138e+02	2.480317e+02
449	2	15	Fa2_2323.jpg	90	summ	9.375000e+01	-999	60	2.520158e+02	2.550331e+02	2.600139e+02	2.631341e+02
449	2	16	Fa2_2121.jpg	30	summ	3.150000e+01	2.089836e+03	60	2.685135e+02	2.715303e+02	2.775139e+02	2.805302e+02
449	2	17	Fa3_1221.jpg	40	conj	4.275000e+01	1.966605e+03	60	2.850138e+02	2.880305e+02	2.960138e+02	2.990304e+02
449	2	18	Fa3_1231.jpg	70	conj	72	2.684531e+03	60	3.070140e+02	3.100307e+02	3.140129e+02	3.170305e+02
449	2	19	Fa3_1331.jpg	50	conj	5.175000e+01	1.750683e+03	60	3.225142e+02	3.255309e+02	3.330136e+02	3.360308e+02
449	2	20	Fa2_2122.jpg	50	summ	5.250000e+01	-999	60	3.405145e+02	3.435317e+02	3.500138e+02	3.530496e+02
449	2	21	Fa2_2221.jpg	40	summ	4.050000e+01	2.238699e+03	60	3.590176e+02	3.620349e+02	3.675139e+02	3.705312e+02
449	2	22	Fa3_1111.jpg	30	conj	2.775000e+01	-999	60	3.775148e+02	3.805315e+02	3.845137e+02	3.875723e+02
449	2	23	Fa2_2223.jpg	70	summ	72	1.918344e+03	60	3.955151e+02	3.985318e+02	4.060137e+02	4.090319e+02
449	2	24	Fa3_1311.jpg	80	conj	8.025000e+01	2.201719e+03	60	4.160153e+02	4.190320e+02	4.270139e+02	4.300322e+02
